Title,Year,Runtime_minutes,Genres,Rating,Votes,IMDB_Link
Ano hi mita hana no namae o bokutachi wa mada shiranai.,(2011),23.0,"Animation, Adventure, Drama            ",8.2,"12,449",https://www.imdb.com/title/tt1913273/
The Killing,(2011–2014),45.0,"Crime, Drama, Mystery            ",8.2,"107,371",https://www.imdb.com/title/tt1637727/
Misfits,(2009–2013),60.0,"Comedy, Drama, Fantasy            ",8.2,"98,449",https://www.imdb.com/title/tt1548850/
Miranda,(2009–2015),30.0,Comedy            ,8.2,"14,979",https://www.imdb.com/title/tt1533435/
Strike Back,(2010–2020),45.0,"Action, Drama, Thriller            ",8.2,"31,102",https://www.imdb.com/title/tt1492179/
The League,(I) (2009–2015),22.0,"Comedy, Sport            ",8.2,"47,123",https://www.imdb.com/title/tt1480684/
Parenthood,(2010–2015),60.0,"Comedy, Drama            ",8.2,"33,874",https://www.imdb.com/title/tt1416765/
White Collar,(2009–2014),40.0,"Comedy, Crime, Drama            ",8.2,"127,042",https://www.imdb.com/title/tt1358522/
Treme,(2010–2013),55.0,"Drama, Music            ",8.2,"14,432",https://www.imdb.com/title/tt1279972/
Better Off Ted,(2009–2010),30.0,"Comedy, Sci-Fi            ",8.2,"25,799",https://www.imdb.com/title/tt1235547/
Hacks,(2021– ),30.0,"Comedy, Drama            ",8.2,"17,347",https://www.imdb.com/title/tt11815682/
The Midnight Gospel,(2020– ),23.0,"Animation, Adventure, Comedy            ",8.2,"16,316",https://www.imdb.com/title/tt11639414/
Kalifat,(2020– ),46.0,"Crime, Drama, Thriller            ",8.2,"17,340",https://www.imdb.com/title/tt11398870/
Murdoch Mysteries,(2008– ),48.0,"Crime, Drama, Mystery            ",8.2,"13,102",https://www.imdb.com/title/tt1091909/
Party Down,(2009–2010),30.0,"Comedy, Drama            ",8.2,"30,261",https://www.imdb.com/title/tt1073507/
Ashes to Ashes,(2008–2010),60.0,"Crime, Drama, Fantasy            ",8.2,"10,018",https://www.imdb.com/title/tt1008108/
Shaun the Sheep,(2007–2020),7.0,"Animation, Short, Comedy            ",8.2,"13,781",https://www.imdb.com/title/tt0983983/
Chuck,(2007–2012),43.0,"Action, Comedy, Drama            ",8.2,"134,372",https://www.imdb.com/title/tt0934814/
Eastbound & Down,(2009–2013),28.0,"Comedy, Drama, Sport            ",8.2,"55,720",https://www.imdb.com/title/tt0866442/
Skins,(2007–2013),46.0,Drama            ,8.2,"80,659",https://www.imdb.com/title/tt0840196/
Metalocalypse,(2006–2013),11.0,"Animation, Comedy, Music            ",8.2,"16,492",https://www.imdb.com/title/tt0839188/
In Treatment,(2008–2021),30.0,Drama            ,8.2,"17,060",https://www.imdb.com/title/tt0835434/
The Lost Room,(2006),270.0,"Action, Fantasy, Mystery            ",8.2,"30,779",https://www.imdb.com/title/tt0830361/
30 Rock,(2006–2013),22.0,Comedy            ,8.2,"119,926",https://www.imdb.com/title/tt0496424/
Studio 60 on the Sunset Strip,(2006–2007),44.0,"Comedy, Drama            ",8.2,"23,976",https://www.imdb.com/title/tt0485842/
I Know This Much Is True,(2020),60.0,Drama            ,8.2,"17,740",https://www.imdb.com/title/tt0425118/
Farscape: The Peacekeeper Wars,(2004),182.0,"Action, Adventure, Drama            ",8.2,"15,981",https://www.imdb.com/title/tt0387736/
Wonderfalls,(2004),60.0,"Comedy, Drama, Fantasy            ",8.2,"12,573",https://www.imdb.com/title/tt0361256/
Angels in America,(2003),352.0,"Drama, Fantasy, Romance            ",8.2,"27,454",https://www.imdb.com/title/tt0318997/
FLCL,(2000–2001),151.0,"Animation, Action, Comedy            ",8.2,"16,919",https://www.imdb.com/title/tt0279077/
Trigun,(1998),24.0,"Animation, Action, Adventure            ",8.2,"20,969",https://www.imdb.com/title/tt0251439/
Gilmore Girls,(2000–2007),44.0,"Comedy, Drama            ",8.2,"116,051",https://www.imdb.com/title/tt0238784/
Courage the Cowardly Dog,(1999–2002),11.0,"Animation, Adventure, Comedy            ",8.2,"42,538",https://www.imdb.com/title/tt0220880/
SpongeBob SquarePants,(1999– ),23.0,"Animation, Comedy, Family            ",8.2,"92,761",https://www.imdb.com/title/tt0206512/
Farscape,(1999–2003),50.0,"Action, Adventure, Drama            ",8.2,"35,973",https://www.imdb.com/title/tt0187636/
Spooks,(2002–2011),60.0,"Action, Crime, Drama            ",8.2,"15,878",https://www.imdb.com/title/tt0160904/
Buffy the Vampire Slayer,(1997– ),44.0,"Action, Drama, Fantasy            ",8.2,"140,994",https://www.imdb.com/title/tt0118276/
Bottom,(1991–1995),30.0,Comedy            ,8.2,"12,747",https://www.imdb.com/title/tt0103376/
Are You Afraid of the Dark?,(1990–2000),30.0,"Drama, Family, Fantasy            ",8.2,"14,554",https://www.imdb.com/title/tt0103352/
